x, Quinenco S.A.(Banking&Finance),AES Gener(Electricity),Almendral( Telecoms),Antarchile Sa(Conglomerate),Banco de Cr_dito e Inversiones(Banks),Banko de Chile(Banks),Banmedica(Health Insurance & Health care provider),Cia Sudamericana De Vapores(Shipping),Colbun(Electricity),Compa_Ía CervecerÍas Unidas(Beverages),Embotelladora Andina(Beverages),Empresa Nacional de Telecomunicaciones S.A.(Telecoms),Empresas Cmpc Sa(Wood Pulp),Empresas Copec Sa(Conglomerate),Entel Chile(Telecoms),Forus SA(Retailers),LAN Airlines(Airline),MADECO(Manufacturing/Metal),Parque Arauco S.A.¾(Shopping Mall Developer),S.A.C.I. Falabella(Retailers),Sociedad Matriz del Banco de Chile(Banking),Sociedad Punta del Cobre S.A.(Copper),Sociedad QuÍmica y Minera de Chile(Chemicals),Socovesa(Real Estate Developer),Telefonica Chile(Telecoms)
 Quinenco S.A.(Banking&Finance),17,0,0,0,0,3,0,2,0,4,0,0,0,0,0,0,0,4,0,1,2,0,1,0,0
AES Gener(Electricity),0,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Almendral( Telecoms),0,0,8,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0
Antarchile Sa(Conglomerate),0,0,0,7,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Banco de Cr_dito e Inversiones(Banks),0,0,0,1,31,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1
Banko de Chile(Banks),3,0,0,0,0,17,0,1,0,2,0,0,0,0,0,0,1,3,0,0,6,0,0,0,0
Banmedica(Health Insurance & Health care provider),0,0,1,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Cia Sudamericana De Vapores(Shipping),2,1,0,0,0,1,0,22,0,1,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0
Colbun(Electricity),0,0,1,0,0,0,0,0,10,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0
Compa_Ía CervecerÍas Unidas(Beverages),4,0,0,0,1,2,0,1,0,12,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
Embotelladora Andina(Beverages),0,0,0,0,0,0,1,0,0,0,18,0,1,0,0,1,0,0,2,0,0,1,1,0,0
Empresa Nacional de Telecomunicaciones S.A.(Telecoms),0,0,1,0,0,0,0,0,2,0,0,13,1,1,9,0,0,0,0,0,0,2,0,0,0
Empresas Cmpc Sa(Wood Pulp),0,0,0,0,0,0,0,0,2,0,1,1,20,1,1,0,0,0,0,0,0,0,0,0,0
Empresas Copec Sa(Conglomerate),0,0,0,5,2,0,0,0,2,0,0,1,1,13,0,0,0,0,0,0,0,0,0,0,0
Entel Chile(Telecoms),0,0,1,0,0,0,0,0,1,0,0,9,1,0,12,0,0,0,0,0,0,2,0,0,0
Forus SA(Retailers),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0
LAN Airlines(Airline),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,0,1,1,0,0,1,0
MADECO(Manufacturing/Metal),4,0,0,0,0,3,0,2,0,2,0,0,0,0,0,0,0,13,0,1,2,0,1,0,0
Parque Arauco S.A.¾(Shopping Mall Developer),0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,14,0,0,0,0,0,0
S.A.C.I. Falabella(Retailers),1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,13,0,0,1,0,0
Sociedad Matriz del Banco de Chile(Banking),2,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,1,2,0,0,10,0,0,0,0
Sociedad Punta del Cobre S.A.(Copper),0,0,3,0,0,0,2,0,0,0,1,2,0,0,2,0,0,0,0,0,0,10,0,0,0
Sociedad QuÍmica y Minera de Chile(Chemicals),1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,14,0,0
Socovesa(Real Estate Developer),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0
Telefonica Chile(Telecoms),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
