ID#,2 Names, Êrelation#,name of relation,Corp #,Corp,Full name of Corporation,Type of business,Miscellaneous info
26081469,çlvaro  Rodr’guez,1,CEO/GM,1,ALMEN:CI,Almendral, Telecoms,
8320888,Luis  Achondo,2,BoD,1,ALMEN:CI,Almendral, Telecoms,
112705106,Gonzalo  Langlois,3,BoD,1,ALMEN:CI,Almendral, Telecoms,Prim: Pacifico V Region S.A.
8320856,Fernando  Menendez,4,BoD,1,ALMEN:CI,Almendral, Telecoms,
25316796,Spiniak  Paul,5,BoD,1,ALMEN:CI,Almendral, Telecoms,
32589898,Hurtado  Ignacio,6,BoD,1,ALMEN:CI,Almendral, Telecoms,
32590051,Gast—n  Larra’n,7,BoD,1,ALMEN:CI,Almendral, Telecoms,
133826660,Eduardo  Mac-Auliffe,8,BoD,1,ALMEN:CI,Almendral, Telecoms,
51938339,Miguel  Peirano,9,CEO,2,ANDINAA:CI,Embotelladora Andina,Beverages,
136916932,Andr_s  P.,10,CFO,2,ANDINAA:CI,Embotelladora Andina,Beverages,
408900,Renato  Fernandez,11,COO,2,ANDINAA:CI,Embotelladora Andina,Beverages,
408902,Carlos  Lohmann,12,Pres/GM,2,ANDINAA:CI,Embotelladora Andina,Beverages,
408904,Alejandro  Feuereisen,13,CVCO,2,ANDINAA:CI,Embotelladora Andina,Beverages,
8315759,Juan  Gonz‡lez,14,BoD,2,ANDINAA:CI,Embotelladora Andina,Beverages,Prim: Metrogas SA
1161737,Arturo  Albala,15,BoD,2,ANDINAA:CI,Embotelladora Andina,Beverages,
8074340,Heriberto  S‡nchez,16,BoD ,2,ANDINAA:CI,Embotelladora Andina,Beverages,Committee on Directors Chairman
8073156,Gonzalo  Handal,17,BoD,2,ANDINAA:CI,Embotelladora Andina,Beverages,
8073170,Jos_  Jr.,18,BoD,2,ANDINAA:CI,Embotelladora Andina,Beverages,
26081452,Salvador  Somav’a,19,BoD,2,ANDINAA:CI,Embotelladora Andina,Beverages,Prim: Cruz Blanca Salud SA
59072509,Gonzalo  Palma,20,BoD,2,ANDINAA:CI,Embotelladora Andina,Beverages,
11169837,Brian  Smith,21,BoD,2,ANDINAA:CI,Embotelladora Andina,Beverages,Prim: The Coca-Cola Company
1127714,Ernesto  Repetto,22,BoD,2,ANDINAA:CI,Embotelladora Andina,Beverages,
8073154,Jorge  Garreton,23,BoD,2,ANDINAA:CI,Embotelladora Andina,Beverages,
8132554,Jos_  Urenda,24,BoD,2,ANDINAA:CI,Embotelladora Andina,Beverages,Prim: Parque Arauco S.A.
26080806,Patricio  Gil,25,BoD,2,ANDINAA:CI,Embotelladora Andina,Beverages,Prim: Sociedad Punta del Cobre S.A.
2864245,Jos_  Baeza,26,BoD,2,ANDINAA:CI,Embotelladora Andina,Beverages,Prim: Chemical & Mining Co. of Chile Inc.
59072505,Cristian  Arriagada,27,BoD,2,ANDINAA:CI,Embotelladora Andina,Beverages,
24701331,Jorge  Fouque,28,GM,3,ANTAR:CI,Antarchile Sa,Conglomerate,
13401588,Roberto  Rossi,29,BoD,3,ANTAR:CI,Antarchile Sa,Conglomerate,
24701333,Juan  Pe–afiel,30,BoD,3,ANTAR:CI,Antarchile Sa,Conglomerate,
765641,Felipe  Bascu–an,31,BoD,3,ANTAR:CI,Antarchile Sa,Conglomerate,
24701336,Arnaldo  Balbi,32,BoD,3,ANTAR:CI,Antarchile Sa,Conglomerate,
26081598,Andres  Lyon,33,BoD,3,ANTAR:CI,Antarchile Sa,Conglomerate,
12057997,Jose  Dumas,34,BoD,3,ANTAR:CI,Antarchile Sa,Conglomerate,
26081420,Carlos  Castro,35,GM,4,BANMED:CI,Banmedica,Health Insurance & Health care provider,
26081417,Carlos  Garc’a-Huidobro,36,BoD,4,BANMED:CI,Banmedica,Health Insurance & Health care provider,
112705106,Gonzalo  Langlois,37,BoD,4,BANMED:CI,Banmedica,Health Insurance & Health care provider,Prim: Pacifico V Region S.A.
26081406,Hugo  L—pez,38,BoD,4,BANMED:CI,Banmedica,Health Insurance & Health care provider,
26081408,Juan  Granello,39,BoD,4,BANMED:CI,Banmedica,Health Insurance & Health care provider,
26081427,Carlos  Abbott,40,BoD,4,BANMED:CI,Banmedica,Health Insurance & Health care provider,
26080806,Patricio  Gil,41,BoD,4,BANMED:CI,Banmedica,Health Insurance & Health care provider,Prim: Sociedad Punta del Cobre S.A.
172011485,Manuel  Blackburn,42,BoD,4,BANMED:CI,Banmedica,Health Insurance & Health care provider,
172011508,Antonio  Joratt,43,BoD,4,BANMED:CI,Banmedica,Health Insurance & Health care provider,
